line,text,uniqueID
12,[Music],ep001
15,this is amazing this couple is on the,ep001
18,hunt for a house in Spokane but they,ep001
21,have completely different tastes I'm a,ep001
24,fan of formal living rooms even though,ep001
27,he really could care she was kind of,ep001
30,like a waste of space to me just keep a,ep001
33,fireplace right in the middle of your,ep001
36,kitchen why not there is one thing they,ep001
39,do agree on right the views from here,ep001
42,that's gorgeous in here right yeah you,ep001
45,can't beat this but in their price range,ep001
48,getting a house with a view may mean,ep001
51,putting up with some very quirky details,ep001
54,there's a urinal I think having a,ep001
57,putting green in your backyard is,ep001
60,awesome,ep001
63,oh my gosh honey these spores remind me,ep001
66,of Aunt Ruth's house it's interesting,ep001
69,[Music],ep001
72,swim back to us as fast as you can I'm,ep001
75,Danielle and I'm Ethan I'm a land,ep001
78,manager and a part-time fitness,ep001
81,instructor and I'm a manager at a,ep001
84,building products distribution company,ep001
87,can you get her covered up here we also,ep001
90,have a son seven years olds name is,ep001
93,Beckett and we have a daughter NOLA and,ep001
96,she is 5 years old we're coming up on,ep001
99,our 10-year wedding anniversary soon,ep001
102,Ethan is a very smart guy he's the type,ep001
105,that sits back and observes before he,ep001
108,says anything but then once he gets to,ep001
111,know you he really opens up danielle has,ep001
114,a very big personality does things in a,ep001
117,grand way a lot of enthusiasm and,ep001
120,excitement buddy,ep001
123,about three years ago we moved from,ep001
126,Colorado Springs to Castle Rock Colorado,ep001
129,which is just right outside of Denver,ep001
132,and we found a home there that we really,ep001
135,thought was our forever home it was a,ep001
138,wonderful home we did a lot of work to,ep001
141,it last year we just put in a big huge,ep001
144,deck with a slide coming off of it and,ep001
147,the kids and everybody all the neighbors,ep001
150,would come over and play on it and we,ep001
153,loved it but then Ethan's company,ep001
156,offered him a promotion only they would,ep001
159,have to move the family to Spokane so we,ep001
162,decided to leave our home in Colorado,ep001
165,and then try it out here right now we're,ep001
168,staying in a rented condo in the Spokane,ep001
171,area we seem to like it it's it's,ep001
174,similar climates Colorado there's,ep001
177,mountains there's sunshine there's lakes,ep001
180,I like the idea that when we want to do,ep001
183,things in this town it's a little bit,ep001
186,more accessible a bit of a smaller town,ep001
189,here in Spokane smaller city doesn't,ep001
192,take you three hours to go to a football,ep001
195,game go into the lake in Colorado is a,ep001
198,three or four hour ordeal drive let's,ep001
201,get to the lake and Spokane is 12,ep001
204,minutes right down the road all that's,ep001
207,left now is for them to buy a house in,ep001
210,their new city our budget for our new,ep001
213,"home we're looking at about $600,000 I'd",ep001
216,like to keep it closer to around five,ep001
219,I'm sure that I'm gonna want to change,ep001
222,something in the house and I'd like to,ep001
225,leave room in the budget to be able to,ep001
228,make those changes I'm up for making,ep001
231,some changes I work with a lot of,ep001
234,interior building products for my job so,ep001
237,I've got a an eye for those kind of,ep001
240,things helping them with their searches,ep001
243,real estate agent Nicole and race,ep001
246,what kind of style are you guys looking,ep001
249,for style of house I'm looking for is a,ep001
252,ranch-style home I like to have a main,ep001
255,living area then your basement you can,ep001
258,have for entertaining I'm not a fan of,ep001
261,the ranch houses I am a fan of a,ep001
264,Craftsman two-story home that has a lot,ep001
267,of light high ceilings in the family,ep001
270,room area are in the entry level,ep001
273,I don't like it closed off by like an,ep001
276,open floor plan no I think all we really,ep001
279,"need it's 3,000 square feet you don't",ep001
282,want to too big of a house I think,ep001
285,"there's enough room 3,000 square feet",ep001
288,that we can get our four bedrooms and,ep001
291,three baths I think we're gonna need,ep001
294,more the way I see it is our kids are,ep001
297,very close in age and as they grow up,ep001
300,what seems like a big house now might,ep001
303,not seem so big when you have the,ep001
306,cheerleaders and the football team all,ep001
309,over at our house at the same time right,ep001
312,but we don't need a formal living room,ep001
315,we don't need a formal dining room all,ep001
318,this wasted space that we can we can get,ep001
321,in the smaller package even if we were,ep001
324,to have a bunch of kids over that's,ep001
327,where the backyard is for we're looking,ep001
330,for at least a quarter of an acre for a,ep001
333,lot gives the kids enough room to run,ep001
336,around and we really don't want to have,ep001
339,a house that's stacked on top of another,ep001
342,house and then on the inside I like my,ep001
345,nice light and bright kitchens okay,ep001
348,I spend a lot of time in the kitchen and,ep001
351,so I really like white kitchens a nice,ep001
354,big sized kitchen island would be nice,ep001
357,for me but nice for Ethan would meet a,ep001
360,home that has a sauna it's a great place,ep001
363,to relax I've always enjoyed doing that,ep001
366,after a workout and there's one more,ep001
369,item that's a must for both of them some,ep001
372,nice views remind us of home okay so,ep001
375,that's gonna be a little challenging but,ep001
378,I'm always up for a challenge first up,ep001
381,is a place Nicole chose with Danielle in,ep001
384,mind I love it it's a two-story has a,ep001
387,very strong Craftsman look to it I,ep001
390,really like it does look nice I just,ep001
393,"wish it was a ranch-style it's 4,500",ep001
396,square feet we've got five bedrooms four,ep001
399,baths and it's completely finished from,ep001
402,top to bottom seems a little big maybe,ep001
