start,uniqueID,text
1,ep121,"This is a huge, hugs room."
2,ep121,It definitely fits me.
3,ep121,Shaunda will only accept here best in her first home in Georgia.
4,ep121,[all laughing]
5,ep121,"No! floor, you know, it just..."
6,ep121,reeks out at me like...
7,ep121,"-Oh, come-- Oh, come on!"
8,ep121,I want to it sparkle.
9,ep121,I want that wow factor.
10,ep121,"As a single mom, keeping her spending in check is also a priority."
11,ep121,"So, her agent has a tough road ahead."
12,ep121,I would love a tile shower.
13,ep121,"We know things like that cost money, right?"
14,ep121,"With this particular home, not only are we dealing with the market, we're dealing with the fact that this is the last lot in this neighborhood."
15,ep121,"Pressure, pressure, pressure."
16,ep121,-No pressure.
17,ep121,-Pressure. pressure.
18,ep121,"-It's pressure, girl."
19,ep121,[doorbell rings]
20,ep121,[opening theme music playing]
21,ep121,Did you complete your homework?
22,ep121,-I've been...
23,ep121,-That's a yes or no question.
24,ep121,I was born and raised here in Atlanta.
25,ep121,I am a Georgia peach.
26,ep121,And I'm a project program coordinator for a large healthcare organization.
27,ep121,Why don't you come and help me make a snack.
28,ep121,All right.
29,ep121,I'm a single mom.
30,ep121,"My son lives with me and my father, he comes over a lot."
31,ep121,He is a part-time resident.
32,ep121,"Next, we are gonna go for the grapes."
33,ep121,"Xavier, he's 12-years-old and he's the love of my life."
34,ep121,That's my little munchkin.
35,ep121,"-Here, Mama."
36,ep121,I got it.
37,ep121,I got it.
38,ep121,-You got it?
39,ep121,I'm currently renting on the outskirts of Atlanta.
40,ep121,I am tired of renting and it will mean so much to me to own a home.
41,ep121,This is something that I just been wanting to do for years.
42,ep121,"And I decided to cut down on shopping, even in wigs for my hair."
43,ep121,"So, just, uh, I just cut down all the unnecessary expenses so that way I can just save."
44,ep121,"Take this on the table -and I'll go get the door, okay?"
45,ep121,-All right.
46,ep121,"As a first time home buyer, I don't know everything."
47,ep121,"My real estate agent, Leslie, she's awesome."
48,ep121,-Hey! to buy a house?
49,ep121,My focus is the first time home buyer.
50,ep121,The challenge is the expectations.
51,ep121,I had to bring them back to earth.
52,ep121,"I want the bells and whistles The bells and the whistles Yes, the bells and the whistles"
53,ep121,[both laughing]
54,ep121,And I think Shaunda is coming in with all those big expectations.
55,ep121,She isn't ready for the harsh reality that Atlanta real estate is crazy right now.
56,ep121,"So, you've got to pay to play."
57,ep121,I've been approved at 400K.
58,ep121,"-Okay, nice."
59,ep121,Nice. want to stay around 300.
60,ep121,It is going to be very competitive.
61,ep121,I don't want to be house poor.
62,ep121,I want to make sure that I'm making good financial decision for myself and my son.
63,ep121,What particular areas in Atlanta are you thinking?
64,ep121,"Something quiet, suburban, where kids are around so that my son can make friends I'm looking for, like, a traditional style house."
65,ep121,"-Okay. dad, he's gonna be, like, a part-time resident So, an extra bedroom will be definitely helpful for him to have somewhere to sleep."
66,ep121,That's good for me to know.
67,ep121,-That little sparkly stuff.
68,ep121,-Okay. I see.
69,ep121,"-Mm-hmm. yes, I want the house to reflect my personality."
70,ep121,Okay. want it to sparkle.
71,ep121,"So, I want that wow factor."
72,ep121,My preference is new construction.
73,ep121,"Basically, it hasn't been lived in."
74,ep121,I don't want to sit on nobody's old toilet.
75,ep121,"Please, be open to resale because we can always replace the toilet."
76,ep121,-True. I don't wanna pull a carpet and all that stuff.
77,ep121,-Okay. you don't want a project?
78,ep121,-Mmh-mmh. I want in my new home...
79,ep121,-closet space.
80,ep121,-Big closet.
81,ep121,"-Right. I want extra space for my wigs, -shoes, purses."
82,ep121,-Okay. your pet peeve are small closets?
83,ep121,Yes Somebody's been pressuring me to get a dog.
84,ep121,"I want this big backyard where, where me and the dog can, like, go running and fetching and stuff because, like, I want this Doberman."
85,ep121,"Okay, let's see what we can do."
86,ep121,"Like, a basement..."
87,ep121,where I can make music and stuff.
88,ep121,"His passion right now is music, so he would love to use that space to have a music studio."
89,ep121,I would also like to have a long drive way.
90,ep121,"-I like to entertain, so I want..."
91,ep121,-Right. for my guests to be able to park.
92,ep121,"So, you're not gonna get everything you want for $300,000, but I just want you to know all of your options."
93,ep121,We are visiting a new construction community in Conyers.
94,ep121,You're all about the new.
95,ep121,I am all about the new-new I think you'll be pleased but we'll see because you know you.
96,ep121,"This one's gonna be $300,000 That's not too bad."
97,ep121,"-Uh, um, okay."
98,ep121,"-Guess what, Xavier?"
99,ep121,-What? get a pool.
100,ep121,Ooh. still building.
101,ep121,"If you want a new home, you have to expect there to be some construction of the new home."
102,ep121,This driveway is a tad bit short.
103,ep121,It is a bit of a shorter driveway.
104,ep121,How often are you gonna have guests?
105,ep121,"You're gonna have friends over here and there, so they can always park on the street."
106,ep121,"So, that's not much of a tradeoff to get new construction."
107,ep121,And look at this home.
108,ep121,The brick color is really nice.
109,ep121,I like that brick color.
110,ep121,You can never go wrong with a porch in Georgia.
111,ep121,-I know.
112,ep121,"Right. know, I can see patio furniture out here."
113,ep121,"Have, like, two chairs, -a table right there, yeah."
114,ep121,-Exactly. wow!
115,ep121,I love the wrought iron railing.
116,ep121,"Oh, coffered ceiling."
117,ep121,A lot of personality and detail as soon as you walk into your home.
118,ep121,"Me being a very detailed-oriented person, this house has a lot of detail that caught my eye, like the wall trimmings, the coffered ceiling."
119,ep121,"So, I was just like, ""Oooh."""
120,ep121,"I like this chandelier that you pointed out, Xavier."
121,ep121,"It's cute, is it?"
122,ep121,I would give it a thumbs up of approval.
123,ep121,"-So, I am noticing the carpet."
124,ep121,"-Mm-hmm. we're having dinner here, it's gonna be a nightmare trying to keep that clean."
125,ep121,All right.
126,ep121,Check out this kitchen.
127,ep121,-Huh? love this island!
128,ep121,You see the island?
129,ep121,Yes. granite countertops.
130,ep121,I like that.
131,ep121,I love the color of the cabinets.
132,ep121,It's so tall.
133,ep121,-Oh. in this home is built to give you that luxe feel.
134,ep121,"I love the kitchen but this floor, you know, it just..."
135,ep121,reeks out at me like...
136,ep121,"-Oh, come-- Oh, come on."
137,ep121,I just like the wood look.
138,ep121,"Remember, you're trying to stay within a certain price."
139,ep121,-In order to that...
140,ep121,-Yeah. to make a few sacrifices.
141,ep121,"I expected a little bit more from a $300,000 house, that the floor would be a little bit more up-to-date."
142,ep121,Shaunda's been quite demanding.
143,ep121,"If she wants to stay within a certain price range, I want het her to know that she may not get everything she wants out the gate, but she can always add it later on."
144,ep121,Can we look out here?
145,ep121,"Sure, we can go out there."
146,ep121,I like the size of this deck.
147,ep121,Doesn't a look like it's a whole lot of yard.
148,ep121,"With new construction, you do sacrifice a bit of that yard space..."
149,ep121,Okay. still has plenty of room to play around.
150,ep121,"Yeah, it's decent."
151,ep121,"Well, as you see, it unfinished."
152,ep121,It looks spacious.
153,ep121,They've done a quite a bit to it to give it a good foundation...
154,ep121,-Mm-hmm. to build out from there.
155,ep121,"-Desk, desk, TV..."
156,ep121,-What you got going on over here?
157,ep121,-A counter?
158,ep121,A desk?
159,ep121,-He's in his own little world.
160,ep121,I'm in my own world right now.
161,ep121,-[Leslie laughs]
162,ep121,I noticed.
163,ep121,He's planned it out to the T.
164,ep121,"As soon as you get up here, you are welcomed by an oasis."
165,ep121,This owner suite is amazing.
166,ep121,"This is a huge, huge room."
167,ep121,It definitely fits me.
168,ep121,Take a look at this bathroom.
169,ep121,"Oh, this is light and bright."
170,ep121,Go ahead and step in and see it's enough room for you to move around.
171,ep121,-Enough room for you to move around?
172,ep121,-Let me check and see.
173,ep121,Okay. Uh-huh.
174,ep121,[Leslie laughs]
175,ep121,It's missing...
